Date,Close,Returns,Sorted Returns,,Replication,Simulated Returns,,Calculation of Value at Risk,,,,
08-12-2021,1100.26,-18.51%,1.52%,,147,2.62%,,,,,,
10-04-2026,1350.20,-10.87%,1.52%,,148,1.90%,,,,,,
29-08-2024,1514.87,28.39%,1.51%,,149,0.67%,,,,,,
12-11-2021,1179.89,7.87%,1.51%,,150,1.51%,,,,,,
03-01-2022,1093.78,-23.45%,1.51%,,151,1.27%,,,,,,
18-03-2024,1428.90,11.37%,1.50%,,152,0.41%,,,,,,
28-04-2022,1283.07,7.38%,1.49%,,153,-0.33%,,,,,,
25-11-2022,1194.93,19.72%,1.49%,,154,0.76%,,,,,,
02-06-2021,998.12,-5.09%,1.49%,,155,2.22%,,,,,,
21-12-2021,1051.65,8.56%,1.49%,,156,0.44%,,,,,,
02-07-2021,968.74,-15.82%,1.48%,,157,2.39%,,,,,,
13-06-2023,1150.76,-9.36%,1.48%,,158,2.10%,,,,,,
19-12-2023,1269.65,7.27%,1.47%,,159,0.18%,,,,,,
04-11-2022,1183.58,21.88%,1.47%,,160,0.47%,,,,,,
05-08-2021,971.11,1.03%,1.45%,,161,2.83%,,,,,,
16-07-2021,961.17,-5.90%,1.44%,,162,2.27%,,,,,,
14-06-2021,1021.46,-10.21%,1.43%,,163,2.59%,,,,,,
24-06-2022,1137.55,-8.85%,1.42%,,164,3.96%,,,,,,
30-01-2025,1248.07,10.30%,1.42%,,165,1.61%,,,,,,
17-01-2023,1131.56,-3.90%,1.42%,,166,3.75%,,,,,,
08-04-2025,1177.50,-3.28%,1.42%,,167,1.23%,,,,,,
23-12-2024,1217.44,5.85%,1.41%,,168,1.59%,,,,,,
28-06-2022,1150.13,19.38%,1.41%,,169,-0.50%,,,,,,
11-08-2021,963.40,-24.25%,1.40%,,170,2.93%,,,,,,
21-12-2023,1271.86,-12.69%,1.40%,,171,4.38%,,,,,,
04-02-2026,1456.80,2.30%,1.37%,,172,0.87%,,,,,,
09-03-2026,1424.00,14.73%,1.37%,,173,0.12%,,,,,,
04-08-2023,1241.17,12.54%,1.36%,,174,0.42%,,,,,,
11-07-2022,1102.90,-22.12%,1.36%,,175,1.52%,,,,,,
31-01-2024,1416.14,2.57%,1.35%,,176,0.39%,,,,,,
11-08-2025,1380.69,-8.53%,1.35%,,177,2.08%,,,,,,
27-06-2025,1509.37,-3.56%,1.34%,,178,2.28%,,,,,,
19-12-2025,1565.10,8.94%,1.34%,,179,3.65%,,,,,,
05-06-2025,1436.66,24.42%,1.33%,,180,0.65%,,,,,,
28-06-2023,1154.71,-18.50%,1.32%,,181,2.33%,,,,,,
17-10-2025,1416.80,19.40%,1.32%,,182,2.29%,,,,,,
19-12-2022,1186.57,-9.00%,1.31%,,183,-1.05%,,,,,,
02-12-2024,1303.94,11.63%,1.31%,,184,3.57%,,,,,,
08-08-2022,1168.08,-18.49%,1.31%,,185,-0.12%,,,,,,
20-03-2024,1433.14,44.91%,1.30%,,186,0.57%,,,,,,
16-08-2021,988.97,-9.58%,1.30%,,187,1.21%,,,,,,
16-12-2021,1093.80,-24.11%,1.29%,,188,2.11%,,,,,,
18-02-2026,1441.30,23.92%,1.29%,,189,1.07%,,,,,,
04-10-2021,1163.08,20.53%,1.29%,,190,2.32%,,,,,,
22-07-2021,964.94,-31.94%,1.28%,,191,4.61%,,,,,,
04-06-2025,1417.84,0.85%,1.28%,,192,0.17%,,,,,,
04-08-2025,1405.89,13.50%,1.28%,,193,2.06%,,,,,,
15-12-2023,1238.63,11.41%,1.28%,,194,2.48%,,,,,,
17-02-2022,1111.82,9.55%,1.27%,,195,2.69%,,,,,,
26-08-2021,1014.88,-14.04%,1.26%,,196,1.58%,,,,,,
21-11-2023,1180.71,13.61%,1.26%,,197,0.14%,,,,,,
25-02-2022,1039.22,-17.69%,1.25%,,198,-0.42%,,,,,,
14-11-2024,1262.56,3.23%,1.24%,,199,3.04%,,,,,,
14-12-2023,1223.02,-13.24%,1.24%,,200,4.41%,,,,,,
14-05-2024,1409.64,24.92%,1.24%,,201,3.02%,,,,,,
08-05-2023,1128.41,-20.60%,1.23%,,202,0.08%,,,,,,
23-05-2025,1421.12,-1.11%,1.23%,,203,1.18%,,,,,,
16-02-2026,1437.10,23.37%,1.23%,,204,0.81%,,,,,,
14-06-2023,1164.91,-17.27%,1.23%,,205,0.68%,,,,,,
08-05-2024,1408.13,-6.84%,1.22%,,206,-0.60%,,,,,,
12-11-2025,1511.50,44.78%,1.21%,,207,0.57%,,,,,,
02-09-2021,1043.98,-6.02%,1.20%,,208,1.21%,,,,,,
29-11-2021,1110.91,1.80%,1.20%,,209,3.16%,,,,,,
28-12-2021,1091.30,-14.38%,1.19%,,210,0.02%,,,,,,
14-08-2023,1274.65,8.86%,1.18%,,211,3.08%,,,,,,
05-03-2025,1170.92,-16.16%,1.18%,,212,2.53%,,,,,,
28-01-2026,1396.70,18.52%,1.17%,,213,4.26%,,,,,,
17-06-2022,1178.48,8.66%,1.17%,,214,1.83%,,,,,,
09-02-2022,1084.52,-27.90%,1.17%,,215,0.39%,,,,,,
29-10-2025,1504.20,9.40%,1.16%,,216,1.32%,,,,,,
05-09-2025,1375.00,23.04%,1.16%,,217,1.79%,,,,,,
04-05-2023,1117.50,-16.23%,1.15%,,218,0.97%,,,,,,
24-01-2024,1334.00,5.75%,1.15%,,219,0.53%,,,,,,
16-01-2025,1261.41,-13.69%,1.14%,,220,3.23%,,,,,,
25-06-2025,1461.46,32.36%,1.14%,,221,3.05%,,,,,,
13-05-2022,1104.13,-6.09%,1.13%,,222,1.96%,,,,,,
27-09-2023,1175.75,-0.01%,1.13%,,223,0.02%,,,,,,
02-01-2023,1175.89,-0.85%,1.13%,,224,3.62%,,,,,,
12-09-2022,1186.00,-19.17%,1.12%,,225,3.27%,,,,,,
16-08-2024,1467.34,26.47%,1.12%,,226,0.53%,,,,,,
10-11-2021,1160.24,-22.54%,1.12%,,227,3.38%,,,,,,
26-07-2024,1497.94,1.87%,1.11%,,228,3.83%,,,,,,
14-02-2024,1470.49,4.68%,1.11%,,229,0.58%,,,,,,
06-03-2026,1404.80,-5.08%,1.11%,,230,3.95%,,,,,,
20-09-2024,1480.01,54.11%,1.11%,,231,0.56%,,,,,,
30-06-2021,960.37,-36.79%,1.09%,,232,1.45%,,,,,,
27-06-2024,1519.30,3.45%,1.09%,,233,1.39%,,,,,,
10-04-2024,1468.70,17.76%,1.09%,,234,2.87%,,,,,,
15-01-2025,1247.22,-1.18%,1.09%,,235,3.34%,,,,,,
11-07-2023,1262.08,5.07%,1.08%,,236,1.28%,,,,,,
04-12-2023,1201.21,-8.86%,1.08%,,237,2.47%,,,,,,
03-12-2024,1318.04,7.31%,1.08%,,238,1.14%,,,,,,
11-09-2023,1228.21,11.06%,1.08%,,239,2.07%,,,,,,
22-09-2021,1105.91,-30.55%,1.07%,,240,1.34%,,,,,,
02-01-2026,1592.30,12.60%,1.06%,,241,-0.86%,,,,,,
02-05-2025,1414.15,19.29%,1.05%,,242,2.30%,,,,,,
06-09-2022,1185.45,-15.03%,1.05%,,243,1.49%,,,,,,
16-03-2026,1395.10,-4.63%,1.04%,,244,1.55%,,,,,,
20-06-2024,1462.87,-1.32%,1.03%,,245,1.62%,,,,,,
19-08-2024,1482.48,-0.93%,1.03%,,246,2.16%,,,,,,
04-03-2024,1496.33,19.59%,1.02%,,247,-1.15%,,,,,,
18-12-2023,1251.24,2.04%,1.02%,,248,1.48%,,,,,,
13-10-2021,1226.23,-22.63%,1.02%,,249,0.58%,,,,,,
12-07-2024,1584.99,32.86%,1.02%,,250,2.38%,,,,,,
28-03-2022,1193.02,-16.66%,1.01%,,251,2.63%,,,,,,
07-02-2024,1431.55,14.50%,1.01%,,252,2.16%,,,,,,
28-07-2023,1250.22,-5.06%,1.00%,,253,-0.06%,,,,,,
05-12-2024,1316.79,34.59%,1.00%,,254,1.80%,,,,,,
05-07-2021,978.37,-15.04%,0.99%,,255,1.38%,,,,,,
02-11-2023,1151.58,15.90%,0.99%,,256,1.21%,,,,,,
24-08-2021,993.61,-9.64%,0.99%,,257,0.87%,,,,,,
06-03-2023,1099.56,-6.55%,0.98%,,258,1.20%,,,,,,
16-06-2023,1176.57,-6.63%,0.97%,,259,4.15%,,,,,,
31-01-2025,1260.07,16.97%,0.96%,,260,0.22%,,,,,,
30-01-2023,1077.22,-11.81%,0.96%,,261,0.58%,,,,,,
06-12-2023,1221.51,-16.95%,0.96%,,262,1.37%,,,,,,
22-02-2024,1470.86,5.28%,0.96%,,263,2.86%,,,,,,
10-05-2024,1397.08,28.69%,0.95%,,264,0.60%,,,,,,
23-11-2021,1085.59,-6.37%,0.93%,,265,1.32%,,,,,,
28-09-2021,1159.39,-15.16%,0.93%,,266,0.40%,,,,,,
02-09-2025,1366.50,-11.00%,0.93%,,267,1.35%,,,,,,
07-07-2025,1535.37,31.92%,0.93%,,268,-0.66%,,,,,,
31-10-2022,1163.88,-14.86%,0.93%,,269,0.20%,,,,,,
25-05-2026,1367.00,27.76%,0.92%,,270,2.65%,,,,,,
01-03-2023,1069.98,-26.87%,0.92%,,271,0.07%,,,,,,
19-02-2024,1463.17,26.34%,0.92%,,272,0.18%,,,,,,
06-01-2023,1158.09,2.41%,0.91%,,273,1.20%,,,,,,
05-06-2023,1130.86,-9.02%,0.90%,,274,5.27%,,,,,,
19-10-2021,1243.02,-13.89%,0.90%,,275,2.27%,,,,,,
25-06-2024,1443.47,-0.75%,0.88%,,276,4.80%,,,,,,
13-02-2024,1454.34,26.22%,0.88%,,277,0.44%,,,,,,
26-12-2022,1152.22,-3.73%,0.87%,,278,0.91%,,,,,,
20-12-2022,1196.84,19.42%,0.87%,,279,2.24%,,,,,,
25-08-2021,1002.21,-14.88%,0.87%,,280,1.73%,,,,,,
24-11-2022,1177.35,-19.04%,0.86%,,281,1.24%,,,,,,
29-04-2024,1454.26,31.95%,0.86%,,282,-1.02%,,,,,,
18-07-2022,1102.15,-19.84%,0.85%,,283,0.99%,,,,,,
06-10-2025,1375.00,6.79%,0.85%,,284,1.75%,,,,,,
18-07-2023,1287.53,15.54%,0.85%,,285,1.34%,,,,,,
02-05-2023,1114.33,-11.62%,0.85%,,286,3.97%,,,,,,
31-07-2023,1260.81,-9.62%,0.85%,,287,1.72%,,,,,,
12-09-2025,1395.00,-7.41%,0.85%,,288,2.89%,,,,,,
26-08-2024,1506.58,27.04%,0.84%,,289,-0.61%,,,,,,
03-08-2022,1185.92,-19.14%,0.84%,,290,0.59%,,,,,,
14-06-2024,1466.69,22.64%,0.84%,,291,1.53%,,,,,,
13-09-2022,1195.91,-15.72%,0.84%,,292,3.16%,,,,,,
23-07-2025,1418.93,-0.41%,0.84%,,293,1.92%,,,,,,
21-08-2025,1424.80,22.73%,0.84%,,294,3.80%,,,,,,
06-11-2023,1160.91,-10.44%,0.83%,,295,1.20%,,,,,,
02-01-2024,1296.26,18.84%,0.83%,,296,2.77%,,,,,,
14-07-2022,1090.73,-0.90%,0.82%,,297,1.58%,,,,,,
14-03-2022,1100.61,-5.46%,0.82%,,298,1.07%,,,,,,
30-06-2023,1164.18,0.22%,0.82%,,299,3.04%,,,,,,
27-12-2022,1161.65,4.54%,0.82%,,300,-0.59%,,,,,,
21-02-2023,1111.16,2.53%,0.82%,,301,1.61%,,,,,,
07-12-2021,1083.77,-23.98%,0.81%,,302,3.53%,,,,,,
05-05-2025,1425.61,28.76%,0.81%,,303,1.98%,,,,,,
05-07-2022,1107.16,-0.11%,0.81%,,304,1.88%,,,,,,
07-01-2022,1108.41,-25.24%,0.81%,,305,1.68%,,,,,,
23-02-2024,1482.65,22.69%,0.80%,,306,1.18%,,,,,,
01-04-2022,1208.44,-11.19%,0.80%,,307,1.47%,,,,,,
12-01-2024,1360.65,24.39%,0.80%,,308,1.48%,,,,,,
27-09-2022,1093.88,-4.66%,0.80%,,309,0.27%,,,,,,
09-11-2021,1147.40,-9.50%,0.79%,,310,2.98%,,,,,,
13-12-2024,1267.79,1.26%,0.79%,,311,3.43%,,,,,,
12-03-2025,1252.05,34.02%,0.78%,,312,-1.20%,,,,,,
29-07-2021,934.25,-41.21%,0.78%,,313,0.25%,,,,,,
08-07-2024,1589.14,66.01%,0.77%,,314,0.71%,,,,,,
04-08-2021,957.23,-11.75%,0.77%,,315,1.00%,,,,,,
25-04-2023,1084.66,-27.17%,0.77%,,316,0.07%,,,,,,
10-11-2025,1489.30,4.80%,0.76%,,317,5.38%,,,,,,
06-06-2024,1421.08,3.14%,0.76%,,318,0.99%,,,,,,
09-10-2025,1377.80,-1.91%,0.76%,,319,1.75%,,,,,,
21-01-2026,1404.60,8.27%,0.76%,,320,2.17%,,,,,,
19-07-2023,1297.29,13.76%,0.76%,,321,0.88%,,,,,,
07-06-2023,1140.40,-8.49%,0.76%,,322,3.51%,,,,,,
03-01-2025,1246.17,-11.50%,0.75%,,323,0.04%,,,,,,
18-03-2026,1408.10,47.39%,0.75%,,324,0.05%,,,,,,
13-07-2021,955.39,-29.16%,0.75%,,325,-1.85%,,,,,,
16-10-2024,1348.69,-7.73%,0.75%,,326,-0.06%,,,,,,
09-02-2026,1461.60,-6.10%,0.74%,,327,2.49%,,,,,,
12-12-2025,1556.50,23.09%,0.74%,,328,1.13%,,,,,,
18-08-2023,1264.54,16.62%,0.74%,,329,0.91%,,,,,,
12-10-2022,1084.29,14.14%,0.74%,,330,2.61%,,,,,,
03-08-2021,949.95,-37.04%,0.74%,,331,-0.79%,,,,,,
29-07-2024,1508.93,4.06%,0.73%,,332,2.04%,,,,,,
09-02-2024,1450.02,6.33%,0.73%,,333,3.18%,,,,,,
21-10-2024,1363.75,-4.31%,0.73%,,334,2.71%,,,,,,
17-05-2024,1425.15,17.79%,0.73%,,335,-1.36%,,,,,,
05-12-2023,1209.92,-16.16%,0.73%,,336,4.22%,,,,,,
11-06-2025,1443.14,11.59%,0.72%,,337,2.14%,,,,,,
28-12-2023,1293.20,15.74%,0.72%,,338,1.03%,,,,,,
11-01-2022,1117.30,-10.06%,0.72%,,339,1.27%,,,,,,
11-03-2025,1242.34,-10.29%,0.72%,,340,1.53%,,,,,,
07-10-2025,1384.80,16.53%,0.71%,,341,-0.46%,,,,,,
01-12-2023,1188.35,-4.69%,0.71%,,342,3.27%,,,,,,
30-11-2022,1246.85,-12.16%,0.71%,,343,3.14%,,,,,,
20-02-2026,1419.40,-3.36%,0.70%,,344,-0.61%,,,,,,
11-02-2026,1468.70,21.75%,0.70%,,345,1.90%,,,,,,
16-08-2022,1206.37,-15.76%,0.70%,,346,2.42%,,,,,,
16-06-2025,1432.08,25.66%,0.69%,,347,2.29%,,,,,,
10-05-2023,1139.69,-15.15%,0.69%,,348,2.33%,,,,,,
25-01-2024,1343.13,23.43%,0.68%,,349,3.33%,,,,,,
24-02-2023,1088.15,-15.96%,0.68%,,350,1.75%,,,,,,
23-04-2025,1294.83,0.33%,0.68%,,351,-0.50%,,,,,,
26-11-2024,1290.55,-10.95%,0.68%,,352,1.58%,,,,,,
25-04-2024,1449.25,27.25%,0.68%,,353,1.58%,,,,,,
22-07-2022,1138.94,6.56%,0.68%,,354,2.72%,,,,,,
06-04-2023,1068.86,-13.95%,0.67%,,355,2.84%,,,,,,
19-03-2025,1242.19,5.17%,0.67%,,356,2.99%,,,,,,
25-03-2022,1181.14,-2.80%,0.67%,,357,0.91%,,,,,,
08-09-2023,1215.11,-17.28%,0.67%,,358,2.43%,,,,,,
22-04-2024,1468.98,-6.73%,0.66%,,359,3.54%,,,,,,
18-07-2024,1575.02,26.11%,0.66%,,360,3.58%,,,,,,
09-08-2023,1248.91,-20.72%,0.66%,,361,0.80%,,,,,,
22-12-2025,1575.40,60.12%,0.66%,,362,0.88%,,,,,,
23-08-2021,983.90,-34.59%,0.66%,,363,2.83%,,,,,,
01-08-2024,1504.17,10.43%,0.66%,,364,1.30%,,,,,,
22-04-2026,1362.10,20.57%,0.65%,,365,0.85%,,,,,,
02-12-2021,1129.73,-20.15%,0.64%,,366,0.89%,,,,,,
16-05-2024,1414.88,13.35%,0.64%,,367,1.85%,,,,,,
18-12-2024,1248.26,15.04%,0.64%,,368,1.05%,,,,,,
27-04-2023,1085.12,-2.30%,0.63%,,369,0.18%,,,,,,
07-09-2021,1110.64,-8.97%,0.63%,,370,2.22%,,,,,,
17-02-2025,1220.03,-19.80%,0.63%,,371,0.24%,,,,,,
04-07-2025,1521.22,30.91%,0.63%,,372,-0.45%,,,,,,
02-11-2022,1162.08,22.54%,0.62%,,373,1.06%,,,,,,
